"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"821";"1692-6722"
"822";"1980-0231"
"823";"2179-7692"
"824";"0103-278X"
"825";"9394-9596"
"826";"2176-4603"
"827";"1808-5016"
"828";"1677-3489"
"829";"0034-8708"
"830";"1807-1406"
"831";"2448-167X"
"832";"0104-693X"
"833";"0079-6484"
"834";"1020-5179"
"835";"1866-6280"
"836";"2076-393X"
"837";"0921-0210"
"838";"1518-4242"
"839";"1569-1705"
"840";"0976-3198"
"841";"0033-409X"
"842";"0367-6765"
"843";"0007-070X"
"844";"1427-4426"
"845";"1062-7995"
"846";"1980-2005"
"847";"0102-6283"
"848";"2176-1795"
"849";"1980-4377"
"850";"1057-1515"
"851";"0191-3123"
"852";"0325-2590"
"853";"1516-6030"
"854";"1809-2632"
"855";"0762-2368"
"856";"2251-6085"
"857";"1741-5985"
"858";"1668-3900"
"859";"1515-5532"
"860";"1065-8599"
"861";"1697-4271"
"862";"1012-9790"
"863";"0018-3792"
"864";"1677-1443"
"865";"0748-7304"
"866";"0020-9996"
"867";"1286-4854"
"868";"0874-8640"
"869";"0929-0168"
"870";"1660-5373"
"871";"1677-1583"
"872";"1320-5358"
"873";"0717-1420"
"874";"0430-8603"
"875";"1519-5031"
"876";"2150-2668"
"877";"2526-8910"
"878";"1808-4478"
"879";"0965-4283"
"880";"2177-2738"
"881";"1679-7574"
"882";"1980-5330"
"883";"2526-5393"
"884";"0718-560X"
"885";"1026-4396"
"886";"0811-2150"
"887";"9872-0190"
"888";"1415-7888"
"889";"2317-904X"
"890";"1930-1693"
"891";"1807-7099"
"892";"1464-5181"
"893";"0181-5512"
"894";"0325-8262"
"895";"1340-9018"
"896";"2072-6651"
"897";"1365-2109"
"898";"1516-4489"
"899";"0146-4833"
"900";"0741-6261"
"901";"0277-3600"
"902";"1527-6988"
"903";"0018-7615"
"904";"1676-4005"
"905";"1359-6101"
"906";"1695-2391"
"907";"0531-559X"
"908";"1996-0875"
"909";"1433-1055"
"910";"0873-819X"
"911";"1520-5134"
"912";"1517-270X"
"913";"0361-8773"
"914";"1809-290X"
"915";"0326-4610"
"916";"1071-754"
"917";"0094-114X"
"918";"0042-4447"
"919";"1094-9313"
"920";"1708-5428"
"921";"1519-0548"
"922";"1982-5625"
"923";"0103-5063"
"924";"0556-655X"
"925";"0972-2629"
"926";"0162-220X"
"927";"9862-7940"
"928";" 141-3614"
"929";"1815-1235"
"930";"1605-2528"
"931";"7674-1059"
"932";"1678-9873"
"933";"1046-4883"
"934";"0100-350X"
"935";"1415-5494"
"936";"0120-1751"
"937";"1366-5901"
"938";"1808-9194"
"939";"0717-876X"
"940";"0094-6176"
"941";"1517-7556"
"942";"0887-6045"
"943";"1659-0082"
"944";"1808-0928"
"945";"1460-2105"
"946";"0538-4680"
"947";"0022-2143"
"948";"1244-5460"
"949";"2317-5265"
"950";"1679-9925"
"951";"1974-9791"
"952";"1359-8368"
"953";"1515-2103"
"954";"1981-9919"
"955";"1414-5145"
"956";"1375-7474"
"957";"0014-7507"
"958";"0929-5313"
"959";"0873-8262"
"960";"0375-1589"
"961";"2177-4552"
"962";"1678-492"
"963";"0391-749"
"964";"1980-4814"
"965";"8755-5093"
"966";"9895-7257"
"967";"1617-6901"
"968";"1516-3318"
"969";"1697-5197"
"970";"1667-314"
"971";"2595-4520"
"972";"1365-3075"
"973";"1092-8480"
"974";"0104-7078"
"975";"2358-3088"
"976";"1579-945X"
"977";"2358-8322"
"978";"1726-5479"
"979";"0265-9883"
"980";"0100-4646"
"981";"1051-2292"
"982";"1679-7477"
"983";"1983-7828"
"984";"0123-921X"
"985";"1980-2129"
"986";"1909-504X"
"987";"0256-6060"
"988";"1981-9544"
"989";"2333-794X"
"990";"0047-7206"
"991";"2317-9597"
"992";"1519-3713"
"993";"1679-722X"
"994";"1449-3659"
"995";"1475-2867"
"996";"1980-2552"
"997";"1976-0670"
"998";"1808-9097"
"999";"1203-8407"
"1000";"1518-4846"
"1001";"1020-5551"
"1002";"1808-298X"
"1003";"0398-7973"
"1004";"2317-1529"
"1005";"1405-1109"
"1006";"8575-7807"
"1007";"1123-573X"
"1008";"1809-8452"
"1009";"1434-2943"
"1010";"2154-4794"
"1011";"0035-9645"
"1012";"0959-3780"
"1013";"1432-1327"
"1014";"0929-665"
"1015";"1665-1200"
"1016";"8882-053B"
"1017";" 350-0519"
"1018";"1734-1140"
"1019";"0187-6309"
"1020";"1827-1596"
"1021";"0444-5023"
"1022";"1809-6689"
"1023";"1415-0018"
"1024";"2314-3282"
"1025";"2210-6340"
"1026";"0029-7704"
"1027";"0120-2510"
"1028";"1469-1795"
"1029";"0731-9258"
"1030";"0960-3107"
"1031";"1552-2237"
"1032";"1414-3438"
"1033";"1121-7588"
"1034";"0148-9267"
"1035";"1562-7020"
"1036";"0730-0301"
"1037";"1745-1329"
"1038";"1040-2004"
"1039";"2177-1847"
"1040";"1135-5727"
"1041";"1679-9429"
"1042";"2314-6141"
"1043";"1692-3448"
"1044";"2107-0862"
"1045";"1677-7786"
"1046";"1527-0858"
"1047";"1809-3760"
"1048";"1529-2908"
"1049";"1948-7185"
"1050";"1234-950X"
"1051";"0885-7458"
"1052";"1365-1501"
"1053";"0021-8928"
"1054";"1415-5303"
"1055";"1984-4271"
"1056";"1984-6428"
"1057";"0587-4246"
"1058";"2411-9970"
"1059";"1089-647"
"1060";"0001-6527"
"1061";"1650-1977"
"1062";"0871-4835"
"1063";"2004-0011"
"1064";"1576-6462"
"1065";"1438-2199"
"1066";"1024-5294"
"1067";"2169-9275"
"1068";"1439-9598"
"1069";"1470-6423"
"1070";"1678-586X"
"1071";"1744-7917"
"1072";"1523-0899"
"1073";"1600-0412"
"1074";"1720-2396"
"1075";"1944-7922"
"1076";"0102-4353"
"1077";"1980-6930"
"1078";"1982-2049"
"1079";"0304-3584"
"1080";"1981-5506"
"1081";"0031-4056"
"1082";"0004-1157"
"1083";"1515-6384"
"1084";"0204-3572"
"1085";"1679-6802"
"1086";"0214-140X"
"1087";"0001-0294"
"1088";"1807-1457"
"1089";"1695-8160"
"1090";"2237-0951"
